21,"[21, 25[","[21, 41[","[21, 82["
22,"[21, 25[","[21, 41[","[21, 82["
23,"[21, 25[","[21, 41[","[21, 82["
24,"[21, 25[","[21, 41[","[21, 82["
25,"[25, 29[","[21, 41[","[21, 82["
26,"[25, 29[","[21, 41[","[21, 82["
27,"[25, 29[","[21, 41[","[21, 82["
28,"[25, 29[","[21, 41[","[21, 82["
29,"[29, 33[","[21, 41[","[21, 82["
30,"[29, 33[","[21, 41[","[21, 82["
31,"[29, 33[","[21, 41[","[21, 82["
32,"[29, 33[","[21, 41[","[21, 82["
33,"[33, 37[","[21, 41[","[21, 82["
34,"[33, 37[","[21, 41[","[21, 82["
35,"[33, 37[","[21, 41[","[21, 82["
36,"[33, 37[","[21, 41[","[21, 82["
37,"[37, 41[","[21, 41[","[21, 82["
38,"[37, 41[","[21, 41[","[21, 82["
39,"[37, 41[","[21, 41[","[21, 82["
40,"[37, 41[","[21, 41[","[21, 82["
41,"[41, 45[","[41, 61[","[21, 82["
42,"[41, 45[","[41, 61[","[21, 82["
43,"[41, 45[","[41, 61[","[21, 82["
44,"[41, 45[","[41, 61[","[21, 82["
45,"[45, 49[","[41, 61[","[21, 82["
46,"[45, 49[","[41, 61[","[21, 82["
47,"[45, 49[","[41, 61[","[21, 82["
48,"[45, 49[","[41, 61[","[21, 82["
49,"[49, 53[","[41, 61[","[21, 82["
50,"[49, 53[","[41, 61[","[21, 82["
51,"[49, 53[","[41, 61[","[21, 82["
52,"[49, 53[","[41, 61[","[21, 82["
53,"[53, 57[","[41, 61[","[21, 82["
54,"[53, 57[","[41, 61[","[21, 82["
55,"[53, 57[","[41, 61[","[21, 82["
56,"[53, 57[","[41, 61[","[21, 82["
57,"[57, 61[","[41, 61[","[21, 82["
58,"[57, 61[","[41, 61[","[21, 82["
59,"[57, 61[","[41, 61[","[21, 82["
60,"[57, 61[","[41, 61[","[21, 82["
61,"[61, 65[","[61, 81[","[21, 82["
62,"[61, 65[","[61, 81[","[21, 82["
63,"[61, 65[","[61, 81[","[21, 82["
64,"[61, 65[","[61, 81[","[21, 82["
65,"[65, 69[","[61, 81[","[21, 82["
66,"[65, 69[","[61, 81[","[21, 82["
67,"[65, 69[","[61, 81[","[21, 82["
68,"[65, 69[","[61, 81[","[21, 82["
69,"[69, 73[","[61, 81[","[21, 82["
70,"[69, 73[","[61, 81[","[21, 82["
72,"[69, 73[","[61, 81[","[21, 82["
81,"[81, 82[","[81, 82[","[21, 82["
